18,0:00.25,0.39,0.56
18,0:00.23,0.37,0.47
18,0:00.26,0.34,0.43
18,0:00.25,0.36,0.38
18,0:00.24,0.38,0.48
19,0:00.25,0.36,0.46
19,0:00.23,0.36,0.43
19,0:00.27,0.39,0.49
19,0:00.24,0.42,0.46
19,0:00.27,0.40,0.65
19,0:00.30,0.43,0.55
19,0:00.34,0.49,0.76
19,0:00.38,0.42,0.56
19,0:00.27,0.38,0.55
19,0:00.24,0.36,0.51
20,0:00.27,0.44,0.56
20,0:00.29,0.50,0.76
20,0:00.23,0.40,0.47
20,0:00.27,0.45,0.68
20,0:00.25,0.42,0.52
20,0:00.35,0.45,0.58
20,0:00.31,0.46,0.72
20,0:00.28,0.45,0.76
20,0:00.25,0.41,0.45
20,0:00.25,0.42,0.46
21,0:00.29,0.53,0.78
21,0:00.26,0.43,0.55
21,0:00.26,0.44,0.57
21,0:00.26,0.42,0.53
21,0:00.51,0.49,0.71
21,0:00.38,0.49,0.69
21,0:00.27,0.40,0.44
21,0:00.26,0.43,0.52
21,0:00.29,0.46,0.56
21,0:00.28,0.45,0.56
22,0:00.38,0.61,1.03
22,0:00.26,0.44,0.51
22,0:00.28,0.45,0.64
22,0:00.28,0.48,0.52
22,0:00.31,0.46,0.70
22,0:00.29,0.49,0.59
22,0:00.29,0.43,0.55
22,0:00.29,0.51,0.58
22,0:00.27,0.46,0.65
22,0:00.28,0.47,0.61
23,0:00.33,0.58,0.97
23,0:00.29,0.44,0.82
23,0:00.33,0.50,0.67
23,0:00.26,0.50,0.67
23,0:00.29,0.52,0.64
23,0:00.29,0.49,0.66
23,0:00.27,0.46,0.51
23,0:00.29,0.50,0.64
23,0:00.28,0.47,0.66
23,0:00.30,0.50,0.60
24,0:00.30,0.55,0.66
24,0:00.27,0.48,0.59
24,0:00.34,0.58,0.86
24,0:00.31,0.52,0.66
24,0:00.28,0.51,0.59
24,0:00.31,0.53,0.69
24,0:00.28,0.53,0.68
24,0:00.28,0.53,0.59
24,0:00.52,0.48,0.64
24,0:00.29,0.51,0.67
25,0:00.32,0.53,0.72
25,0:00.37,0.56,0.75
25,0:00.28,0.48,0.65
25,0:00.33,0.53,0.74
25,0:00.34,0.56,0.73
25,0:00.44,0.57,0.91
25,0:00.29,0.53,0.57
25,0:00.43,0.54,0.67
25,0:00.31,0.53,0.69
25,0:00.27,0.52,0.63
26,0:00.32,0.58,0.76
26,0:00.32,0.60,0.78
26,0:00.35,0.61,0.96
26,0:00.40,0.57,0.71
26,0:00.34,0.60,0.84
26,0:00.32,0.55,0.68
26,0:00.29,0.55,0.68
26,0:00.33,0.60,0.77
26,0:00.30,0.54,0.71
26,0:00.34,0.58,0.80
27,0:00.32,0.63,0.90
27,0:00.31,0.60,0.74
27,0:00.32,0.59,0.68
27,0:00.35,0.54,0.69
27,0:00.31,0.55,0.59
27,0:00.34,0.60,0.74
27,0:00.37,0.63,0.98
27,0:00.32,0.60,0.79
27,0:00.33,0.61,0.77
27,0:00.35,0.62,0.76
