18,0:00.57,0.76,0.28
18,0:00.54,0.75,0.30
18,0:00.59,0.89,0.40
19,0:00.62,0.85,0.40
19,0:00.58,0.87,0.34
19,0:00.58,0.88,0.35
19,0:00.57,0.87,0.36
19,0:00.58,0.88,0.36
19,0:00.58,0.84,0.39
19,0:00.71,0.91,0.34
19,0:00.87,0.95,0.46
20,0:00.95,0.97,0.36
20,0:00.83,0.95,0.38
20,0:00.77,0.95,0.37
20,0:00.85,0.98,0.45
20,0:00.84,0.96,0.42
20,0:00.93,1.02,0.41
20,0:00.76,0.97,0.36
20,0:00.82,0.97,0.40
20,0:00.78,0.92,0.40
20,0:00.81,0.96,0.39
21,0:00.88,1.04,0.44
21,0:00.89,1.03,0.38
21,0:00.87,1.06,0.37
21,0:00.99,1.09,0.45
21,0:00.97,1.02,0.43
21,0:00.96,1.05,0.44
21,0:00.93,1.02,0.39
21,0:00.89,1.08,0.46
21,0:00.75,0.97,0.35
21,0:00.80,1.02,0.39
22,0:00.87,1.13,0.52
22,0:00.89,1.10,0.47
22,0:00.98,1.18,0.50
22,0:00.93,1.11,0.44
22,0:00.90,1.15,0.52
22,0:00.82,1.08,0.45
22,0:00.93,1.12,0.48
22,0:00.85,1.07,0.41
22,0:00.90,1.09,0.41
22,0:00.96,1.13,0.45
23,0:01.05,1.25,0.50
23,0:01.04,1.19,0.42
23,0:00.85,1.14,0.40
23,0:00.90,1.17,0.40
23,0:01.06,1.26,0.46
23,0:01.02,1.20,0.44
23,0:01.33,1.26,0.49
23,0:00.98,1.21,0.41
23,0:01.05,1.21,0.47
23,0:01.05,1.24,0.47
24,0:01.03,1.31,0.50
24,0:01.06,1.31,0.52
24,0:01.10,1.31,0.47
24,0:01.15,1.31,0.50
24,0:01.13,1.31,0.52
24,0:01.02,1.26,0.44
24,0:01.07,1.31,0.52
24,0:01.30,1.44,0.65
24,0:01.05,1.27,0.47
24,0:01.24,1.31,0.48
25,0:01.29,1.42,0.52
25,0:01.09,1.38,0.46
25,0:01.69,1.55,0.62
25,0:01.13,1.39,0.50
25,0:01.09,1.36,0.53
25,0:01.10,1.31,0.43
25,0:00.99,1.31,0.48
25,0:01.19,1.39,0.54
25,0:01.18,1.40,0.54
25,0:01.28,1.46,0.55
26,0:01.29,1.46,0.48
26,0:01.16,1.43,0.53
26,0:01.20,1.48,0.58
26,0:01.12,1.41,0.45
26,0:01.30,1.44,0.50
26,0:01.05,1.44,0.47
26,0:01.23,1.46,0.55
26,0:01.13,1.43,0.46
26,0:01.42,1.52,0.59
26,0:01.23,1.45,0.59
